{
{ -3.61107f, 7.24704f, -5.95797f, -8.22742f, 4.93646f, -9.14215f, 3.54904f, -4.61686f, -0.71594f, -15.54136f, -18.60984f, -0.49994f, -2.18490f, -4.45848f, 4.17302f, -8.04931f },
{ 1.52822f, 13.46390f, 5.60281f, -16.77349f, -19.79431f, -14.22809f, -25.19568f, -0.98315f, 8.71580f, -24.98886f, -6.59264f, -8.14840f, -10.32081f, 10.58938f, -3.32373f, 1.69092f },
{ -11.29095f, 3.63355f, 3.50425f, 2.88936f, 2.11734f, 1.84613f, -5.24159f, -7.83537f, -6.53510f, -6.18456f, 4.12584f, 1.85901f, -4.30202f, 7.52419f, 4.90067f, -3.41477f },
{ -7.97089f, -8.31605f, -0.43720f, -5.35678f, 11.91461f, -1.97958f, -8.09075f, 17.35438f, 6.22675f, 24.08051f, 8.78504f, -5.69186f, -13.36313f, 1.01793f, -0.55054f, -3.77005f },
{ -13.59345f, -6.09967f, 4.88450f, 2.80925f, 0.13727f, 3.81323f, 6.36857f, -8.21387f, 20.64944f, -17.96088f, -16.00546f, 1.23616f, 5.80006f, -2.87000f, -4.17499f, 9.17315f },
{ 6.32148f, 8.40258f, -11.26429f, 5.67795f, -18.45434f, 12.56667f, 5.06648f, 9.52820f, 19.37548f, 5.26922f, 2.88572f, -4.60732f, -9.45982f, -4.17345f, 13.26419f, 3.03105f },
{ 4.44798f, -8.31544f, -20.25286f, 3.65043f, 7.58617f, -9.15360f, -6.85696f, -19.94438f, -2.84116f, -19.07972f, -3.69315f, -10.15440f, -11.16233f, -7.64530f, -12.28113f, -13.90427f },
{ -5.11011f, -15.82613f, 5.53273f, 6.51687f, 9.08489f, -1.25344f, 11.52855f, -4.83068f, 1.05919f, -6.25851f, -20.16965f, 5.31279f, 12.66955f, 4.43723f, -2.87827f, 1.87118f },
{ 11.13122f, -9.13398f, 3.70439f, 3.82116f, 11.87982f, 2.23828f, 1.50641f, 3.52249f, -10.44543f, -3.27131f, 1.28573f, -0.08808f, 3.58351f, 5.62065f, 9.88868f, -4.90569f },
{ 4.97054f, 11.92996f, 3.12843f, 5.56582f, 1.19442f, 0.37380f, -0.81488f, 2.47835f, -14.44210f, 12.75587f, -6.32304f, -1.26789f, 6.49806f, -2.49077f, -10.38462f, -10.47143f },
{ 1.02322f, 11.08192f, 20.31959f, -9.62731f, 5.59640f, -1.65761f, -1.90344f, 6.28538f, 12.24421f, -2.40646f, -12.12931f, -2.24512f, -15.03054f, -5.00716f, -5.01965f, 16.40673f },
{ -9.40732f, -14.72825f, -14.64102f, -6.17083f, 11.62619f, -6.22620f, 10.56576f, -4.88182f, -1.42899f, 11.87802f, -1.07677f, -7.38647f, -12.26675f, 1.30297f, -7.55029f, -0.13766f },
{ 1.93471f, 10.21046f, -9.04564f, 13.99400f, 2.33353f, -8.04925f, -2.82480f, -18.17144f, -7.75285f, 14.26171f, -12.84405f, -1.78605f, -3.94890f, -7.35360f, -3.53222f, -10.36769f },
{ 7.11523f, 12.09109f, -11.71914f, 5.75264f, -5.88191f, 7.98558f, -11.48197f, -5.33076f, -0.53048f, 9.44488f, 22.07369f, 6.98481f, 6.43343f, -15.91591f, -4.45296f, 13.42897f },
{ 5.90533f, -19.21549f, 9.83320f, 15.32276f, 0.87102f, -20.89002f, 0.93821f, -3.77612f, 10.90030f, -5.10143f, 26.79613f, 21.65463f, -22.58401f, 7.63363f, -1.27530f, -19.73371f },
{ -6.32329f, 20.74879f, -1.46519f, 10.89995f, 5.39038f, -3.10014f, 2.54480f, -23.14929f, -4.98088f, 3.48570f, -15.91639f, 3.29819f, -6.30376f, 10.45953f, 2.33204f, 4.56589f },
{ 11.52685f, -20.11128f, -3.65868f, 12.17587f, 1.60023f, 7.14184f, -7.20968f, 12.73608f, 2.14135f, 3.21084f, 0.89111f, 2.61932f, 3.07207f, 3.80991f, -5.46494f, 7.64492f },
{ -2.56099f, 9.05783f, 0.49302f, 11.11050f, 14.62025f, 18.88849f, -13.23213f, 0.15262f, 11.20245f, -7.54026f, 1.33041f, 9.33324f, 3.13472f, -1.63706f, -1.54098f, 6.78546f },
{ -5.02344f, -3.01313f, 8.95193f, -10.20477f, -13.49522f, -5.59273f, -3.62090f, -8.23097f, -12.90259f, 7.82786f, -8.90123f, 9.47732f, 11.21969f, 17.28875f, 3.07154f, -1.57038f },
{ 6.09637f, -7.97965f, -11.55607f, -4.49870f, -6.54411f, 14.18410f, 13.36227f, -2.83393f, 3.71351f, 1.12395f, -14.68444f, 1.39143f, -8.95770f, -5.45362f, -13.44671f, -7.08005f },
{ 2.65934f, 17.21362f, 0.85155f, -6.41290f, -5.35825f, 0.44441f, 17.36708f, 3.22686f, 3.58749f, -1.06822f, 12.09677f, -4.29286f, -3.21652f, 0.01610f, 4.04492f, -20.17108f },
{ 12.83475f, 15.82996f, -8.32473f, 15.11057f, 3.41294f, -7.14987f, 14.53770f, -5.57912f, -11.93410f, 4.44881f, 5.92281f, -5.79374f, -7.30031f, -2.46978f, -10.19542f, 6.45521f },
{ 17.53219f, 10.46537f, -5.09134f, 23.23355f, -18.80527f, 4.54004f, 1.52815f, 0.53091f, -5.57939f, 1.88396f, 4.87253f, 16.48587f, -15.11588f, -6.21208f, -6.86489f, -2.10266f },
{ 4.52723f, -6.54368f, -3.83269f, -5.03136f, 5.34774f, 7.73592f, -2.53436f, -6.32901f, 0.88929f, -1.45220f, -1.40599f, 16.13074f, 14.73473f, 4.06939f, -6.17439f, -1.06365f },
{ 3.76077f, -5.10209f, -21.15182f, 16.78006f, -9.07822f, 5.44556f, 8.85704f, -7.54788f, -6.20201f, 0.89035f, 11.41854f, -4.22209f, 2.52052f, 3.81525f, 4.22585f, -8.98178f },
{ 3.95181f, -8.58212f, 6.73574f, -8.50253f, 6.49182f, -11.45444f, -8.39290f, 1.71294f, 15.58605f, 2.80797f, 12.61203f, -0.78738f, -7.03875f, -10.80287f, 4.36843f, 16.38709f },
{ 3.65619f, -1.47124f, 0.74734f, 5.45315f, -1.61621f, -6.28525f, -7.28651f, 12.29886f, -8.99746f, 2.97991f, 2.91300f, 16.77471f, -12.59410f, 13.43387f, 3.75163f, 12.23442f },
{ -13.70292f, 4.49137f, -0.89741f, 14.65155f, 9.50129f, -8.90065f, -7.21361f, -5.95602f, -25.54917f, -2.56353f, -1.29443f, -7.60879f, 7.45827f, 0.80485f, -3.80010f, 2.15050f },
{ 3.07076f, -1.91215f, 5.27600f, -3.58784f, -1.38412f, -8.77064f, 11.82209f, 2.38794f, 9.25520f, -6.26276f, 12.69873f, 7.41014f, 6.79257f, -6.35020f, 12.20109f, -0.70595f },
{ 4.22488f, 5.92218f, 2.93131f, 0.61888f, -3.61577f, -12.77958f, -3.34300f, 2.88541f, 3.17605f, -10.10735f, -1.25559f, 12.28030f, 0.31740f, 0.47711f, 14.27490f, -5.89388f },
{ 1.49138f, 13.15417f, -21.10853f, -1.95233f, 14.80044f, -4.24923f, -7.71711f, -5.92664f, -18.04819f, -9.38141f, 0.86392f, 13.13626f, -7.05538f, 4.14739f, -3.60933f, 16.88760f },
{ 20.84512f, -1.19155f, 5.26972f, -3.19500f, 0.62434f, 17.86664f, 10.08481f, 12.07055f, 31.49636f, -2.39436f, -0.48708f, 17.01650f, 2.37245f, 7.02237f, -10.25446f, 2.71446f },
{ -16.06686f, 14.73113f, -2.60672f, -7.28579f, -4.11318f, 1.71581f, -8.01084f, -15.53824f, -1.13017f, -14.16674f, -7.11935f, 5.32302f, 2.29985f, 4.06215f, 0.82896f, 4.19646f },
{ -7.92441f, 0.63774f, -4.11239f, 16.86978f, 18.30252f, 1.87413f, -11.10262f, 12.50289f, -17.39179f, 10.17829f, 5.20077f, -12.33726f, 3.25970f, 4.12459f, -7.60538f, -11.27706f },
{ -17.08035f, 2.73704f, -23.56189f, -3.31751f, 1.76734f, 1.20059f, -2.31048f, -13.03147f, 16.02164f, -6.31528f, -6.81963f, 22.78521f, -0.82463f, -7.51627f, 6.80029f, -2.53982f },
{ -4.41748f, -8.69889f, -14.24793f, -2.64107f, 0.14576f, 1.82525f, -0.64825f, -21.46492f, -2.45770f, 0.06322f, 11.17362f, 7.10885f, 1.81655f, -8.21897f, -7.23029f, -0.19657f },
{ 14.94991f, -4.58467f, -0.78963f, 12.12024f, -2.94817f, -1.59617f, -9.87244f, -6.96736f, 12.75277f, 2.87473f, 10.56937f, 1.12212f, -1.95463f, -2.48519f, -7.26432f, 14.04987f },
{ 10.65770f, 7.33533f, -1.40203f, 9.66670f, -2.70039f, -4.88946f, -8.70903f, 20.03781f, -3.81049f, -17.40997f, -12.05419f, 2.40215f, 0.28652f, 15.43983f, -17.78308f, 16.21491f },
{ 10.03035f, -6.19826f, 9.14135f, 1.65866f, -3.92478f, -2.96612f, 15.38325f, -7.82397f, 4.20642f, -12.97152f, -11.23593f, 1.65300f, 10.72435f, -4.32179f, 1.35872f, 10.16078f },
{ 6.21825f, -3.79563f, -12.02272f, 20.28433f, 18.31886f, -5.28097f, 2.86746f, 0.58035f, 4.36022f, 11.66663f, -9.95290f, 25.70905f, -15.01068f, 7.06037f, -2.24503f, -5.71810f },
{ 11.98580f, -4.13691f, -18.84265f, 2.34418f, -2.45289f, -4.53989f, -1.98803f, -6.09347f, 7.15300f, 6.25405f, 20.57807f, -9.88829f, 7.49317f, -1.45787f, 2.23694f, 1.51466f },
{ 15.45161f, -13.61680f, -4.08435f, -4.53449f, -9.78555f, 5.55137f, -1.64395f, 22.78639f, -3.89026f, -8.03496f, 8.31182f, 10.61006f, 21.11119f, 1.45563f, 8.21182f, -5.11885f },
{ -19.35167f, -5.79057f, -7.00731f, -1.35332f, -2.28258f, -6.37210f, -30.73664f, -6.52153f, -7.42906f, 3.51886f, -6.07745f, -21.43223f, 6.08830f, -8.34421f, -7.04441f, -2.73299f },
{ 6.05651f, 2.82374f, -5.76588f, 3.73070f, -9.87686f, 15.96953f, 17.45098f, -2.56100f, -5.57606f, -8.82775f, 8.01143f, 12.36024f, -0.47822f, -1.03316f, -2.35554f, 9.94041f },
{ -9.17691f, -5.17003f, 9.48210f, -6.95743f, 9.68698f, 1.02261f, -1.79218f, -6.49866f, -16.12386f, -8.61662f, 11.20096f, -1.90593f, 4.81780f, -8.36901f, -5.73659f, 1.08914f },
{ -22.16395f, 10.19352f, -0.85935f, 8.77260f, -15.34117f, 23.60105f, -10.57025f, -12.27118f, -6.80591f, 33.02092f, 6.99163f, 0.60910f, 12.11061f, 22.17121f, 8.09986f, 11.49732f },
{ 2.24209f, 11.05815f, 6.26632f, -3.31725f, 6.91960f, -0.49711f, 16.02662f, 14.23133f, 8.12739f, 6.52242f, 13.42921f, 8.61271f, 11.14326f, -6.09331f, 16.64036f, -0.32068f },
{ -7.70264f, -24.23006f, 4.66541f, -2.45723f, 3.22895f, 18.64655f, -1.23262f, 9.92148f, -2.08962f, 2.32457f, 0.91808f, 8.78398f, 15.75363f, -5.07839f, 4.88705f, -1.39123f },
{ 0.18008f, 5.90911f, 17.66508f, -1.75158f, -6.72864f, 4.78462f, -5.78943f, 11.61290f, -7.58306f, -4.65801f, -0.51857f, 10.50682f, 5.47373f, 2.02965f, 7.06860f, -10.20386f },
{ 10.53662f, 3.06738f, -0.24724f, 4.13801f, -3.60942f, 11.70002f, 6.17744f, 8.49039f, 2.26442f, 18.54904f, -1.86918f, -0.69332f, -3.64103f, 5.61271f, 4.90707f, 0.99719f },
{ 4.82760f, 2.77379f, -11.84818f, -1.26839f, -0.81879f, 3.11264f, -1.65277f, 3.14127f, -5.81471f, 7.24277f, 8.79597f, -3.84378f, 4.53386f, -9.46924f, -12.02015f, -6.18968f },
{ -3.70775f, 5.34888f, 9.57767f, -0.54709f, 0.19983f, -4.08043f, -6.74040f, 5.71453f, -8.27439f, -6.47404f, 20.04000f, -7.91309f, 1.51581f, 6.81655f, -5.40317f, 7.28989f },
{ 17.42177f, -12.48516f, 10.94470f, 0.35497f, -6.62558f, -20.67245f, -0.24866f, -2.12079f, -3.23857f, 6.49384f, -13.60420f, -3.55248f, -4.79520f, -12.23750f, 16.93586f, -2.97735f },
{ -8.96426f, 5.74724f, -11.50136f, -6.71654f, 8.01274f, 10.28586f, -4.66177f, -2.44226f, -2.04569f, -7.76641f, -13.34916f, -11.37058f, -17.32115f, -9.89426f, 9.84819f, -9.65600f },
{ -3.70821f, 8.11513f, 3.52786f, 5.79900f, 5.76218f, 9.07838f, 0.27276f, 4.33775f, -0.13980f, 2.35568f, -4.80537f, 7.14070f, -3.68532f, 3.57685f, -0.90974f, -7.78422f },
{ -1.11425f, 10.52393f, -0.53970f, -3.91908f, 5.96941f, -10.60887f, -10.89231f, 4.59761f, 9.64505f, -3.16896f, 1.40657f, -1.76959f, -5.82776f, -9.05103f, -7.35562f, -1.84128f },
{ 8.23087f, -7.04247f, 14.66589f, -13.04048f, 7.56247f, 11.35136f, 12.74696f, -9.72124f, -14.17256f, -5.12008f, 4.42746f, 14.05889f, 1.13477f, -8.74262f, -1.47582f, 5.28096f },
{ -2.39101f, 9.94453f, 19.62390f, -4.58011f, -6.01063f, -5.79867f, -1.23844f, -9.12635f, -8.18759f, 2.81115f, -6.59122f, -11.76440f, -2.38470f, 1.65200f, -19.24919f, -9.34338f },
{ 15.37993f, -7.29759f, -0.82359f, -4.11199f, -8.50919f, -18.11720f, 14.78296f, 2.11421f, -11.55602f, 3.87307f, 8.00119f, -14.47923f, 13.91760f, 0.57646f, -13.98457f, -1.89784f },
{ -3.95286f, -1.70051f, -24.51939f, -0.81507f, 0.66762f, 3.19099f, 1.34377f, 2.14674f, -1.95802f, -3.30345f, 6.24445f, 4.14188f, 1.02336f, 20.28644f, 0.56474f, 17.66560f },
{ 3.43037f, 4.93775f, -10.77301f, 9.21743f, -5.67203f, -3.41692f, -7.34342f, -2.58562f, 1.08507f, 4.76097f, -13.86863f, -5.54045f, -11.01753f, -2.20768f, 8.16119f, -3.03853f },
{ 5.98235f, 9.09351f, 0.67094f, -0.02180f, 4.84422f, 10.51594f, -5.61857f, -2.38756f, 5.05190f, -12.00054f, -0.37157f, -1.28484f, 4.69493f, 0.83718f, 0.70739f, -10.00822f },
{ -9.90477f, -9.26681f, -13.77847f, -16.65943f, 8.98349f, -6.51714f, 0.62800f, 3.78396f, 12.22367f, -13.18604f, 1.74250f, 1.52041f, 0.86247f, 6.49813f, -9.57082f, 5.42046f },
{ 1.89771f, 5.07805f, -5.34986f, 3.82901f, 9.16523f, 2.47375f, 10.95312f, 9.59606f, -4.11113f, 0.47704f, 13.17943f, 5.49614f, 18.42776f, -5.96015f, -1.65829f, 6.96722f },
{ 5.19714f, 13.29096f, -9.26803f, -17.13833f, 1.84172f, -13.04580f, 13.20795f, 18.43307f, -13.57377f, 8.12280f, 0.99669f, 3.14872f, -11.19673f, -2.16330f, -3.80000f, 0.54331f },
{ 5.07683f, -1.41466f, 9.15091f, -9.67725f, -3.84790f, -5.46396f, 2.81368f, -24.33182f, 3.40400f, -11.84152f, 4.26642f, 3.70236f, 4.57682f, -9.71262f, -6.23363f, 10.46400f },
{ 0.01965f, 11.17451f, -3.17361f, -24.56922f, 4.87408f, 9.69513f, -12.96595f, -4.48805f, 7.28026f, -3.46446f, -1.84992f, -14.26068f, 11.09170f, 3.72045f, -5.16618f, 3.67636f },
{ -16.00395f, -3.13754f, -10.24537f, -15.44943f, 5.87569f, 2.03570f, 9.14783f, -3.62042f, 14.39520f, -5.93869f, -7.86747f, 5.56695f, -2.34335f, 11.92937f, 8.95167f, -11.39956f },
{ 12.56428f, -16.58607f, 16.81599f, 15.00806f, -1.12250f, -19.89394f, -6.11674f, -10.69678f, 4.29256f, 2.16179f, 13.69403f, 4.90166f, 0.46430f, -17.13089f, 2.31976f, 9.36123f },
{ -3.14751f, 11.48336f, 2.18796f, -7.34263f, 1.45106f, -11.24249f, -13.29500f, 7.75232f, 1.01732f, 6.60657f, -10.24355f, 21.14436f, 5.88293f, -17.55965f, -13.91444f, -3.65556f },
{ -6.05338f, 4.34833f, -9.34263f, 11.64081f, -4.61153f, 6.84904f, -4.39554f, 6.49309f, -3.87393f, -4.77900f, -12.27436f, 13.48533f, -7.20451f, -8.00421f, 11.73870f, -3.43261f },
{ 5.36251f, -5.08871f, 3.97207f, 10.67938f, 1.40893f, -21.11793f, -19.44186f, -5.97097f, -9.80798f, 3.84895f, -9.77887f, 19.74187f, 20.53613f, -7.41601f, -2.59174f, 0.06485f },
{ -8.27416f, 19.95117f, 12.43167f, 1.35348f, 11.95446f, 9.75652f, 4.54035f, 20.40068f, -18.52752f, -0.69454f, -3.21232f, 4.05675f, 15.28466f, 12.80101f, 1.43291f, -11.44909f },
{ -9.34462f, 5.29105f, -7.41195f, -12.60461f, -22.38806f, -1.92245f, -0.73679f, 9.68332f, -9.11248f, -5.68708f, 3.90641f, -15.00687f, 16.71696f, -1.96912f, 1.48172f, 1.53893f },
{ -9.30315f, -17.08062f, -1.87786f, -11.83758f, -3.36994f, 11.19422f, -15.35497f, -23.81535f, -14.69223f, 11.01601f, -1.35385f, 8.21161f, -8.66674f, -10.23715f, 5.50608f, 2.77674f },
{ 13.96868f, 5.42113f, -13.63349f, -3.21782f, 4.13420f, -5.37051f, -2.19785f, -5.33257f, -8.57618f, 1.44320f, 4.51368f, -11.33754f, 3.66138f, -8.34837f, -3.11474f, 5.07268f },
{ -6.12185f, -20.07088f, 23.94015f, 0.92048f, -3.62915f, 19.92041f, -26.06045f, -3.76720f, 13.27108f, -3.15024f, 3.55057f, 0.50646f, -11.77860f, -14.79158f, -6.21075f, 4.63093f },
{ 8.66498f, 7.76500f, -0.06010f, 2.95350f, -3.31943f, -11.85740f, -2.09306f, -3.25674f, -9.94875f, 9.17628f, 9.62069f, -10.47539f, 9.64730f, -3.15258f, 15.27644f, -2.64899f },
{ 0.42794f, 13.43775f, 11.43533f, -3.55522f, -8.80741f, 10.72962f, -5.27138f, -9.55576f, -18.57655f, 10.08367f, -1.24218f, -3.38647f, 2.39855f, -7.84104f, -0.54386f, -4.21820f },
{ -5.09333f, 18.55668f, -6.73694f, 12.00023f, -3.24872f, 23.98559f, 0.88102f, -1.06930f, 19.21418f, 11.30429f, -0.05001f, 5.41103f, 14.04970f, -4.06485f, 0.82961f, 6.05858f },
{ 5.82356f, 9.16245f, -11.90103f, -6.75732f, -11.83927f, -4.50164f, -14.02325f, 0.96125f, 22.12973f, -6.33849f, 4.22329f, -11.44840f, -12.63940f, -18.78351f, -12.25052f, -4.82285f },
{ 7.75416f, 0.21932f, -9.61243f, -5.48933f, 6.58921f, 1.17832f, 8.17015f, -11.43834f, -2.99788f, -4.57458f, -10.40581f, 2.80782f, -3.64304f, 5.07006f, -19.66854f, -6.85303f },
{ -11.16832f, -14.55159f, -2.74107f, 12.28969f, 0.02240f, 16.67444f, -0.45382f, -6.64488f, -16.91973f, 14.17343f, 20.26504f, 5.64044f, -13.55421f, 7.38241f, 14.05303f, 13.19677f },
{ 21.01354f, 10.48660f, -7.72146f, -7.96746f, -15.43975f, -7.46378f, 6.17992f, 2.54877f, -11.45653f, 9.15447f, -11.49243f, -7.86480f, 0.19094f, -6.51109f, 8.00878f, -2.10685f },
{ 4.20779f, -0.98725f, 15.57098f, -1.57796f, 2.11634f, 7.58216f, -10.39893f, 8.81623f, 8.62074f, 23.25176f, 1.36550f, -3.11813f, 3.54277f, 6.20833f, 8.11394f, -7.55340f },
{ -9.81562f, -6.04447f, 6.30057f, 13.25954f, 9.60177f, 13.04537f, -0.25110f, -1.20864f, 4.94475f, -9.98022f, -2.15930f, 0.18042f, -0.66392f, -8.12333f, 4.19090f, 0.91136f },
{ 3.88952f, -17.57316f, 0.68160f, -7.10444f, -4.83000f, -18.92816f, 3.37501f, 8.69151f, 17.61402f, -11.75998f, -2.47497f, -5.95299f, 1.76230f, 10.13086f, -6.40969f, -15.80918f },
{ 3.17561f, 0.57962f, 4.50335f, 6.23134f, -0.03594f, -3.30806f, -13.01440f, -17.06704f, -2.50787f, 0.41033f, 2.30184f, 5.86333f, -8.63431f, 8.43005f, 3.62981f, 17.11751f },
{ -12.51674f, -8.06489f, -15.33744f, -2.87327f, 10.24367f, 5.67077f, -9.60231f, 2.73284f, 5.06836f, -18.83305f, 8.86625f, -1.96944f, 20.64359f, 4.40317f, 1.87298f, 8.35820f },
{ -8.68794f, -8.16510f, 14.14715f, 2.82526f, 17.70964f, -5.87368f, -11.35341f, -1.76205f, 3.20788f, 0.82578f, -3.38346f, 8.77883f, -15.51067f, 11.72015f, -21.61512f, -4.48525f },
{ -9.46087f, 2.29232f, -14.27230f, -4.13117f, -5.74072f, 12.41707f, 5.56560f, -2.77616f, -1.24258f, 5.57176f, 5.04955f, 2.49540f, -3.22507f, 6.23504f, -12.91751f, -7.19810f },
{ -3.55283f, 12.50372f, 2.53221f, -7.24903f, -15.04776f, -16.69644f, 11.03031f, 19.66216f, -6.82563f, -12.28879f, 5.29011f, 1.66834f, 4.90647f, -17.78496f, 5.73783f, -7.06076f },
{ -3.73626f, -7.25106f, 5.44121f, 14.10238f, 3.71197f, -1.22707f, 1.67002f, -6.53501f, 5.61770f, 14.51322f, 12.54717f, 14.16322f, 1.39495f, -2.69129f, 2.76507f, -0.61897f },
{ 8.92433f, 8.65409f, -4.49908f, -5.52073f, 18.11409f, -11.72790f, -1.65268f, 3.97636f, -5.89551f, -8.29346f, -3.08500f, 6.21469f, -12.02437f, -12.41057f, 0.66203f, -9.66326f },
{ -2.56503f, 5.19165f, 0.36081f, -18.36415f, 23.50305f, 12.05659f, 0.06851f, -8.90287f, -0.62566f, 8.97868f, -11.51650f, 4.47428f, 6.35630f, 12.59697f, 17.25864f, -2.46838f },
{ -8.01348f, -10.89805f, 2.25909f, -2.01433f, -6.68832f, 4.06671f, 11.47267f, 5.85014f, 6.71257f, 22.17721f, -11.22012f, 6.15141f, -7.20064f, -9.51318f, 2.22434f, 8.19714f },
{ -9.00964f, 6.03665f, -8.10823f, 3.32406f, -9.02634f, -15.11128f, 6.82787f, 6.52537f, -6.44174f, 7.15046f, 4.98936f, -4.98599f, -7.79931f, -24.13904f, 15.93795f, -1.41535f },
{ -11.03794f, 4.62830f, -0.85157f, -2.36606f, -4.64092f, 6.36681f, -7.43602f, -5.28058f, 3.16491f, -4.72679f, -8.05503f, -17.49778f, 1.99982f, -5.29633f, -4.57546f, -11.59898f },
{ -11.03700f, -27.14880f, -11.76212f, 8.72324f, 1.88705f, -5.36533f, 3.93127f, 10.78527f, -1.12121f, -12.27813f, -2.68764f, 8.31227f, -13.46158f, -1.21298f, -2.11904f, 1.06821f },
{ -4.25362f, -10.72795f, 9.57205f, 6.52553f, 12.71960f, -1.06736f, -3.12356f, 3.07989f, 5.49490f, 12.27246f, -6.48414f, 30.53673f, 8.62287f, 3.24447f, 15.62985f, -15.17489f },
{ 7.88364f, -10.70287f, 0.80524f, 7.35628f, -8.39805f, 0.30952f, 1.81987f, -15.86347f, 3.29869f, -5.43272f, -15.49312f, -10.88972f, -7.57672f, 2.01202f, -8.55101f, -1.26683f },
{ 0.60145f, -1.40874f, -7.46363f, 2.37839f, -11.38533f, -6.26865f, -12.11977f, 16.66359f, 4.29715f, -4.67053f, -9.79511f, -5.35787f, -16.26338f, 4.37316f, -10.85035f, -5.77852f },
{ -26.96193f, -3.98380f, -23.50053f, 7.17132f, 28.26108f, 8.08316f, 5.63089f, -15.39906f, -8.38278f, -5.82824f, -3.12894f, -6.04149f, -15.79624f, -0.01205f, 9.47583f, -0.06088f },
{ -3.04694f, 6.52808f, 1.33506f, 0.62890f, 17.52538f, -7.15868f, -5.80421f, 4.95649f, 3.93777f, -1.00868f, 21.04233f, -7.25756f, -9.03831f, 4.08771f, 0.25500f, -10.22862f },
{ 4.21596f, 5.40152f, 13.72971f, -13.14230f, -0.40582f, 7.05186f, -0.22372f, 2.27727f, 2.08419f, 5.27047f, 15.31739f, -4.07776f, -1.46017f, 17.13533f, -15.28791f, -2.16470f },
{ -11.68889f, 9.57712f, 2.29482f, -23.61621f, -14.64105f, 7.37948f, -5.56718f, -12.09571f, -14.46284f, -3.17607f, 3.57281f, -8.07261f, 2.36415f, 10.53651f, -18.16810f, -1.96703f },
{ -5.73771f, -20.19605f, -13.48889f, -1.41826f, -0.03391f, -9.31560f, -4.76964f, -5.05864f, -6.55353f, -9.33073f, -10.61080f, 6.18770f, -11.59232f, -7.20874f, -7.98428f, -2.69418f },
{ 11.13551f, -1.02658f, -6.82248f, 4.16260f, -3.74844f, -2.27039f, -13.56785f, -33.40954f, 4.92572f, 6.93858f, -6.11694f, -8.11925f, 9.32444f, 6.30693f, 7.15432f, -15.69034f },
{ -4.56625f, 11.45285f, -8.03344f, 20.46466f, -12.36931f, 24.70394f, -7.41874f, 6.10464f, -8.66254f, -7.99320f, -16.10427f, -12.08258f, 12.17357f, -11.74676f, 15.91184f, 8.11597f },
{ -5.65914f, -0.12152f, -8.44936f, -5.54627f, -21.77706f, -6.28874f, 2.59854f, -3.39567f, -2.67101f, -5.76993f, -6.09858f, -2.88722f, -15.54664f, 7.66200f, 3.52391f, 5.57730f },
{ 0.28456f, -7.70972f, -10.16056f, -10.39250f, -6.24240f, 1.53652f, -3.81055f, -4.74050f, 9.41282f, 1.83365f, -5.37203f, 22.93806f, 3.13447f, 5.52652f, -14.87055f, -10.64724f },
{ -2.75540f, -0.21205f, -4.42880f, -4.58218f, -2.18926f, 13.30254f, 6.40462f, -1.58598f, 2.23095f, 2.60551f, -10.88912f, -0.41790f, 4.23014f, -1.07931f, -13.05135f, 3.91596f },
{ -4.67570f, -11.85926f, -5.93815f, 14.95450f, -8.96192f, 6.22501f, 5.82041f, -16.84540f, -1.12355f, -4.60800f, 4.58661f, 5.29533f, -6.59832f, -5.27382f, -14.94758f, -8.04420f },
{ -13.97035f, -3.56741f, 15.53425f, -1.15622f, -6.43087f, -6.16368f, 13.85995f, -3.73263f, -0.08093f, -16.12078f, 8.88637f, 6.24941f, -11.19034f, -5.56372f, 7.78004f, 2.80453f },
{ -12.93336f, -2.54991f, -11.22284f, -13.89598f, -11.64872f, 1.18027f, -0.44147f, -5.56600f, -4.34628f, -6.18822f, -4.58571f, -10.72494f, 9.13172f, 3.69560f, -3.46523f, -3.34230f },
{ -4.59449f, 1.49966f, -3.54005f, 26.63474f, 16.37476f, 1.27859f, -5.13968f, -3.93365f, 17.11212f, -5.33482f, 4.63627f, 15.69915f, -1.80912f, 13.98182f, 14.74906f, -8.58802f },
{ -0.36764f, -16.70414f, 11.39584f, -6.80943f, 11.89220f, 6.73938f, 13.59180f, 17.55380f, 8.27075f, 11.16494f, 11.91771f, 0.67353f, -1.76426f, 7.07172f, 2.57615f, 1.95587f },
{ -4.83796f, -15.73539f, 2.86304f, -14.28007f, 4.61798f, 22.70046f, -5.08820f, -1.01090f, -9.12706f, 3.58211f, 4.95273f, 2.61310f, -9.14331f, 3.64144f, -5.46221f, -14.87197f },
{ -11.51857f, 0.00809f, 6.15684f, -3.66324f, -10.49924f, 10.84846f, 0.83417f, 5.78760f, 0.00753f, -2.40234f, 2.73476f, -8.85134f, 7.07033f, 6.15124f, -20.15681f, -2.51447f },
{ 6.49599f, -10.70916f, 1.77472f, 6.61427f, -13.47280f, 0.78969f, 9.16597f, 8.73762f, -8.83391f, 7.87005f, -13.97279f, 5.78033f, 10.68514f, 5.62292f, -2.73975f, 18.52453f },
{ -3.59760f, -10.59560f, -5.71308f, 11.40042f, -16.67354f, -3.99096f, 4.50393f, 4.13265f, -6.15218f, 16.17476f, -9.59392f, -11.77354f, -5.44701f, 16.92769f, 17.59372f, -8.62078f },
