{
{ 0.08144f, -0.76467f, 0.16752f, 1.75935f, -1.41071f, -1.34018f, 0.90333f, 1.01198f, -1.29336f, -0.10368f, 2.27721f, 0.09245f, 0.25523f, 1.51169f, -0.95130f, 0.06777f },
{ -1.08735f, 1.27150f, 0.10604f, 1.08598f, -0.51837f, -2.30629f, -1.21068f, -0.37690f, -0.03491f, -0.77136f, 0.68248f, 0.43329f, 0.51025f, -0.67186f, 0.56770f, -0.47999f },
{ 0.78140f, 0.96613f, 0.90424f, -0.68309f, 0.33029f, -0.95455f, -1.46935f, 0.07291f, -2.03069f, -0.71104f, 0.84128f, -2.38110f, 0.01321f, 0.43777f, 1.26822f, -1.95245f },
{ 1.08647f, 0.69004f, 0.22942f, 0.89940f, -0.37179f, 0.52643f, 0.41273f, -1.86205f, 1.50682f, 0.59721f, -0.31474f, 2.04662f, 0.82138f, -0.25795f, -0.02137f, 0.40699f },
{ 1.07660f, -0.15074f, -0.89813f, 0.48267f, -0.89608f, -0.18573f, 0.52027f, -0.27539f, -0.63531f, -0.56016f, -0.16034f, -0.08260f, -0.38115f, -0.23778f, 1.05385f, -0.21028f },
{ 0.18739f, 1.26360f, -1.62016f, -0.81085f, -0.65833f, -0.33897f, 1.17087f, -0.18101f, 0.43694f, -1.36294f, -1.13120f, 0.27079f, 0.18966f, 0.01502f, 0.22114f, -0.19056f },
{ 0.79938f, 0.90973f, 1.57099f, -1.11199f, 1.65367f, -1.07872f, -0.67245f, 0.57361f, 0.83247f, -0.56119f, -1.47404f, 0.17561f, -0.52637f, -0.80333f, -1.40455f, 0.45593f },
{ -1.85790f, 0.90642f, -0.67065f, -0.68897f, 2.38916f, 0.06214f, 1.69370f, 1.14542f, -0.85496f, -1.69683f, 0.18454f, -1.81031f, 0.58278f, -0.74114f, 3.16243f, 0.16821f },
{ 0.21396f, -0.04410f, -0.73658f, 0.13398f, -1.17003f, 1.35576f, -0.22859f, -1.34078f, -0.72209f, 0.87347f, -0.84461f, -0.99377f, 0.25818f, 0.28073f, 0.63620f, 0.05727f },
{ -0.81853f, 0.03450f, 0.59327f, 0.22930f, 0.95757f, 0.78991f, 1.84779f, -2.03931f, 0.66931f, 0.45082f, -0.38643f, 0.23287f, 0.23130f, -0.61148f, 0.16227f, -0.57661f },
{ 1.38364f, 0.56027f, 0.55403f, -0.51035f, 0.79116f, -0.06017f, 1.86745f, -0.26041f, 0.06771f, -0.38022f, 0.09232f, 2.09777f, -0.30567f, -0.02786f, -0.34524f, 2.35295f },
{ -0.02243f, -0.47079f, 0.24915f, 0.96563f, 1.40818f, 0.67151f, 0.51827f, -1.24752f, 1.98469f, 0.04244f, -0.78337f, -1.59085f, 0.17353f, 0.04684f, 0.42986f, -0.35737f },
{ 0.29583f, 2.03112f, 1.04709f, 0.80316f, -0.01184f, 0.15421f, -0.39850f, -1.04579f, -1.71344f, -0.10330f, -1.19607f, -0.91024f, -0.00929f, 2.37021f, -0.22081f, -1.27775f },
{ -0.33511f, 0.69379f, -1.14941f, -0.70351f, 1.69273f, -0.28308f, 0.92113f, -0.58501f, 1.85025f, -0.74600f, 0.34870f, 0.46961f, -0.61449f, -1.28511f, 0.83980f, 1.76737f },
{ 0.25838f, 2.86601f, -0.81496f, 0.25379f, 0.72918f, -2.05955f, 0.16386f, -0.07923f, 0.84114f, 0.72023f, 0.26000f, 0.25583f, 1.03119f, 0.83494f, -1.54107f, -0.47972f },
{ 0.75122f, -0.96622f, 0.36538f, 1.00556f, -1.06589f, -0.45449f, -0.50080f, -0.14311f, 2.52278f, 1.85272f, -1.07639f, 0.39939f, 1.02465f, 0.06531f, -0.60450f, 1.15733f },
{ 1.60923f, 0.89189f, -1.69741f, -1.51767f, 0.41090f, 0.53327f, 1.62105f, 0.70117f, 0.98736f, -0.68750f, 0.12012f, -1.04526f, -1.47387f, -0.90449f, 0.62405f, -1.30610f },
{ 0.19985f, 0.01126f, 0.30334f, 0.51227f, 0.10947f, -0.11123f, -2.17597f, -0.69314f, 0.14520f, -0.72459f, -1.23328f, -1.05329f, 0.23289f, -0.29336f, -0.87525f, 0.31988f },
{ 0.27827f, 0.65928f, 2.20728f, -0.82527f, 1.22220f, -0.18882f, -0.65263f, -1.10710f, 0.28410f, 1.57091f, 0.05933f, 0.63758f, 1.08136f, 0.83392f, 0.05058f, -0.09429f },
{ -2.00549f, -0.37723f, -0.54242f, -1.01618f, -0.07046f, 0.42399f, -0.19114f, -1.18461f, -1.09448f, 0.61346f, -0.06665f, -0.30226f, -0.69791f, -2.19311f, 0.05878f, -1.71409f },
{ 1.05064f, -0.23909f, 0.71404f, -2.28038f, 0.60634f, 0.66357f, -0.37211f, -0.76892f, -0.15020f, -0.68687f, -1.09354f, 1.05724f, 0.39420f, 1.13862f, -0.24194f, 0.64602f },
{ 1.49135f, 0.56569f, -0.57895f, -0.05069f, 0.84321f, 1.24527f, -0.63653f, -1.37904f, -1.43139f, -0.62075f, 1.42679f, -1.24706f, 0.65650f, 0.29800f, -0.15684f, -0.09704f },
{ -1.14519f, -0.21646f, -1.30402f, -0.70564f, -0.31004f, 0.85686f, -0.54908f, -0.55868f, 0.75675f, 0.24418f, 0.16439f, 0.03238f, -0.21683f, -0.25958f, 1.74006f, 0.65091f },
{ -0.09785f, -0.17345f, 0.76538f, 0.70697f, -0.70135f, 1.18431f, 0.39962f, -0.62324f, 1.21343f, 2.34606f, 0.80223f, -0.35255f, -0.17030f, -0.50070f, 0.19441f, -0.29248f },
{ 1.99660f, -0.42407f, -0.96159f, -0.71214f, -0.51508f, 0.63853f, 0.55641f, -0.66429f, -0.24875f, -0.27647f, 0.23377f, 0.26652f, -1.29337f, -0.29360f, -0.62297f, -0.82393f },
{ 1.33154f, -2.46722f, 0.04210f, 1.69448f, 0.43647f, -0.05730f, -1.26065f, -0.13150f, -0.02446f, 1.56617f, 0.69412f, -0.98069f, -0.80545f, -0.11027f, -1.21931f, 0.76599f },
{ 0.72477f, -1.17192f, 0.93019f, 0.05992f, 0.20155f, -0.78505f, 0.70706f, 1.03751f, 0.98736f, -0.06518f, 0.26640f, -1.35129f, -0.29186f, -0.40248f, 0.91964f, 1.00099f },
{ -0.06261f, 0.42784f, 2.08660f, 0.04525f, 0.08408f, 0.40412f, -1.31313f, 0.17426f, -0.30360f, -0.06730f, -0.58403f, 0.20871f, -0.45008f, -0.08105f, 1.54581f, 0.69151f },
{ -0.58017f, 0.83490f, 0.22616f, -0.10724f, -0.48163f, 0.37564f, 1.73150f, 1.60247f, -0.37435f, 0.46083f, 0.92774f, -0.81217f, 0.08128f, -0.82055f, -0.11958f, 1.23624f },
{ -0.14865f, -1.85451f, -0.84216f, 0.90215f, 0.79632f, 0.39839f, 0.12510f, 0.19282f, 0.50476f, -0.44784f, 1.46747f, 2.04176f, 0.18159f, -0.07077f, 1.29606f, -0.53265f },
{ 1.03926f, 1.41853f, 2.24476f, -1.69878f, 1.22911f, 0.14768f, 1.83438f, 1.18533f, -0.63253f, 1.02427f, 0.82966f, 1.31278f, 0.30758f, -0.85674f, 0.37082f, 2.52695f },
{ 0.27464f, -0.01817f, 0.13581f, -0.22053f, -1.26757f, 1.73924f, -1.58002f, -1.18940f, -0.09015f, -0.58177f, -1.66811f, 2.06725f, -0.56201f, -0.83077f, -0.13143f, -0.23641f },
{ -0.04534f, -0.37758f, 0.18629f, -0.26194f, 1.02932f, -1.33869f, 1.54226f, 1.52740f, -1.07271f, 1.20645f, 1.01605f, -0.37687f, -0.63569f, 0.67355f, -0.36125f, 1.47499f },
{ -0.28572f, 2.37743f, -0.17535f, -0.29344f, 0.36464f, 0.02408f, -2.07197f, 0.82921f, 0.21617f, -0.89219f, -1.06931f, -0.12190f, 0.19063f, 1.85427f, 1.03990f, -1.23165f },
{ 1.06016f, -0.02813f, 0.21764f, -0.42333f, -0.04417f, 0.45746f, -1.54641f, 0.38316f, 1.42205f, -0.85652f, 0.00018f, -2.11164f, -0.61407f, -1.38715f, -0.36058f, -0.48671f },
{ 0.21452f, 0.27759f, 0.76398f, 0.24222f, 1.44593f, 1.53150f, 0.21684f, 2.01319f, -0.40585f, -0.74825f, 1.60448f, 0.46998f, -0.36199f, 0.46003f, 0.43097f, 0.30702f },
{ -0.21615f, -1.99356f, -1.53100f, -0.64320f, 0.69948f, 0.95017f, -0.86148f, 0.06574f, -0.11732f, 0.19601f, 0.33563f, -0.05766f, -1.84872f, 0.25840f, -0.29104f, 0.97791f },
{ 0.44325f, 1.14151f, -0.15208f, 0.91400f, -0.53628f, 1.15019f, -1.38968f, 0.15453f, -0.46742f, -0.76674f, -0.38704f, 2.25433f, -1.07428f, -0.54694f, -0.89718f, 0.47987f },
{ 0.36727f, 0.69332f, 0.15198f, 1.17572f, -1.68281f, 0.57574f, -0.01589f, -0.24361f, -1.04714f, 0.24030f, 1.04459f, 0.42802f, 1.32582f, 0.10566f, -0.94607f, -1.61730f },
{ 0.75043f, -0.74490f, 0.57486f, 0.51646f, -0.13739f, -0.82812f, 0.76619f, 0.84420f, -0.00492f, 2.53055f, 0.75319f, -0.96683f, -0.42188f, -0.94234f, 0.70280f, 0.28784f },
{ 2.09716f, -0.14247f, 0.31182f, 1.04574f, 0.86748f, 0.92680f, -1.41889f, -0.21014f, 0.94188f, 1.16292f, -0.81495f, -0.22978f, -0.41235f, 0.40384f, 1.70116f, -0.47099f },
{ 0.28710f, -0.69924f, 1.43946f, -2.02998f, -1.01253f, -0.85607f, -0.82095f, 0.05847f, 0.95230f, -2.24798f, 1.12368f, -1.05886f, 1.03073f, 0.41292f, -0.49531f, -0.32876f },
{ 1.66790f, 0.05231f, -0.66275f, -0.57328f, 0.55851f, -0.81569f, -0.76072f, 1.20046f, -1.22127f, -0.29850f, 0.40708f, -0.15946f, 0.01072f, -0.17236f, -1.45382f, -0.31037f },
{ -0.69250f, 0.62193f, -0.89241f, -0.73851f, -0.73978f, -1.48155f, 1.95691f, 0.48255f, 0.46206f, 0.90325f, 0.68901f, -0.94579f, -0.06842f, 0.02398f, 0.14202f, -1.02224f },
{ -0.23030f, 1.21715f, -0.63884f, -1.32358f, -0.74973f, -0.17877f, -0.89076f, 0.30131f, 1.00812f, -0.23380f, 0.11561f, -0.08043f, -0.27629f, 0.55434f, -0.15314f, -0.84094f },
{ -0.96971f, -1.91625f, -1.00480f, 1.48676f, 2.30860f, -1.04433f, 1.07230f, 1.92585f, 0.20440f, -1.02486f, -0.80089f, -0.05013f, -0.90279f, 1.30711f, 0.05318f, 0.28355f },
{ 0.64405f, 0.29081f, 0.61299f, -0.39987f, -0.89077f, 1.57418f, -1.04526f, -0.34662f, -0.28092f, 0.29309f, -0.41766f, 0.09952f, -0.26876f, -0.11092f, 0.78615f, -0.20354f },
{ -0.84093f, -1.74780f, 1.81096f, 0.47360f, -0.84954f, -0.00620f, -0.23207f, -1.56076f, 1.17021f, -0.85781f, -0.00985f, 0.36015f, -1.55696f, 0.92370f, 0.69680f, -0.54847f },
{ 0.30294f, 0.67815f, 1.00606f, 0.40245f, -1.25377f, -0.05388f, -0.85084f, -0.41168f, 0.64659f, 1.35923f, -0.56709f, -0.34950f, -0.26144f, 1.29728f, -1.32747f, 1.27461f },
{ -1.50349f, -0.26723f, -0.89816f, 1.10020f, -0.76891f, -0.39584f, -0.44727f, 1.20237f, 0.05426f, -0.85820f, -0.15521f, -1.12882f, 1.03645f, 1.64065f, -1.20585f, -0.48773f },
{ 1.13972f, -0.23877f, -1.45725f, 0.27548f, 0.72515f, -1.25612f, 0.31358f, 0.29823f, -0.02542f, -0.02697f, -0.04134f, 1.00862f, -0.28438f, 1.95537f, 0.58311f, -0.45650f },
{ 0.12277f, 0.52833f, 1.30146f, -0.31324f, -0.80413f, 1.13777f, -0.94394f, 0.72513f, -0.79277f, -0.33351f, -0.04229f, 1.25602f, -0.61566f, -0.64629f, -0.88550f, 1.15012f },
{ 0.50576f, -1.14919f, -2.42987f, 0.79195f, 1.33939f, -0.34568f, 0.34732f, -1.35111f, -0.58913f, -0.17905f, 0.29503f, -0.36804f, 1.25217f, -0.16406f, -0.59818f, 0.06545f },
{ 1.05908f, -1.81721f, 0.90593f, -0.74288f, -0.83886f, 1.02665f, -1.30277f, 0.16888f, 2.44499f, -0.95273f, 2.03616f, 1.91037f, -0.02428f, 1.62173f, -0.16386f, -1.55653f },
{ 0.73070f, 2.41561f, 0.86456f, -0.73788f, -1.81927f, -0.55713f, 1.12848f, -0.66228f, -0.51167f, 1.55942f, -0.13425f, 1.60011f, -1.32641f, 0.21467f, -0.44353f, -1.07127f },
{ -0.26008f, -2.30106f, -0.48551f, -0.17825f, 0.80032f, 2.22542f, -0.89123f, -0.18898f, 0.07088f, 1.61348f, -1.89313f, -0.16759f, -0.20217f, 1.22482f, -0.69877f, -0.67070f },
{ 1.64742f, 0.31799f, -0.61784f, -0.75572f, -0.04295f, 0.02027f, 1.12779f, 1.90194f, 1.21727f, -0.86579f, 1.83183f, -0.53329f, -2.01057f, -0.10837f, 2.52050f, -0.43911f },
{ 0.16825f, 1.21507f, -1.42625f, 0.61730f, -1.29756f, -0.42007f, -1.69171f, 0.68373f, -0.10294f, -1.42750f, 1.17451f, 0.68745f, 1.37279f, -0.43110f, -0.25065f, 0.37994f },
{ -0.04497f, 0.53955f, -0.30658f, -0.23032f, -0.24017f, 0.34473f, -0.35654f, -0.38133f, -1.49582f, 0.79315f, -1.08364f, -1.11051f, -0.20286f, 0.12038f, 0.22782f, 1.37135f },
{ 0.76854f, -1.08648f, 0.26258f, 1.15452f, 1.75057f, 1.28818f, -0.18319f, 0.10575f, 0.91744f, 1.98733f, 0.04783f, 0.62528f, 0.27338f, -0.49671f, 0.29854f, 0.63916f },
{ 0.57151f, -1.54802f, -1.52238f, -1.20589f, 0.28710f, 1.10238f, 0.83693f, 0.91253f, 1.51006f, 0.05062f, -0.54687f, -0.81427f, 1.71734f, 1.61191f, -0.36374f, 1.74368f },
{ 0.26061f, -0.20552f, -0.07041f, -0.09794f, -0.16119f, 0.12611f, -1.12498f, 1.05668f, 0.03708f, -1.16831f, 2.11077f, -0.94164f, 0.14742f, -0.52740f, -0.68192f, 0.69560f },
{ -0.28377f, -0.58777f, 1.79553f, -1.49121f, 0.52710f, 0.85090f, -2.30097f, -0.27845f, 0.00465f, -0.23840f, -1.16535f, -0.74829f, 1.18002f, 0.13556f, -1.63099f, -0.93426f },
{ -1.46968f, 0.89116f, 0.91505f, 0.28124f, 0.30887f, -0.62050f, -0.19674f, 1.56030f, -0.08480f, -0.52028f, 0.43285f, -0.28023f, 1.09411f, 0.09318f, -0.85862f, 0.04759f },
{ -2.00244f, -0.08425f, 0.69119f, 0.47496f, -0.30914f, -0.51683f, 0.34962f, 0.56970f, -0.55680f, -0.26368f, 1.42100f, -0.14481f, -1.13016f, -1.04631f, 0.58517f, 0.92930f },
{ 0.38227f, -1.19199f, -2.00489f, -1.15000f, 0.35422f, -0.50992f, 0.52337f, 0.52283f, 1.29194f, -0.78017f, 0.41502f, -0.09836f, -0.35785f, 1.46513f, -0.71723f, 1.19600f },
{ 1.18682f, -0.97410f, 0.05999f, 1.93296f, 0.35541f, -0.68305f, -0.36339f, 1.97741f, -0.57722f, 1.15739f, -0.21055f, -1.73020f, -0.65480f, -0.80704f, -1.07845f, 0.01242f },
{ -1.50464f, -0.22721f, 0.11340f, -2.17457f, 0.00574f, -1.33156f, -0.58712f, 0.34025f, -0.88838f, -1.24444f, -1.92410f, 1.43995f, -0.17460f, -0.58046f, 0.20859f, -0.13755f },
{ -0.70134f, 1.72034f, 2.50648f, 0.94672f, -0.63784f, 2.11685f, 1.07091f, 0.60061f, 0.63238f, 0.84526f, -0.05498f, -0.25412f, -1.01206f, 0.32992f, 1.17925f, -0.63810f },
{ 0.68771f, -0.95870f, 1.67298f, 1.35216f, -1.05718f, -0.91398f, 0.04293f, -0.59158f, -0.78361f, -0.70470f, -1.38249f, -0.43558f, 1.03400f, -1.71034f, -0.19505f, 0.40133f },
{ 0.51367f, 0.13165f, -0.83364f, 0.43715f, 1.40099f, -1.03837f, 0.33278f, 0.19972f, 0.27480f, 0.78318f, 1.14086f, 0.91771f, 2.22217f, 0.22286f, -0.97680f, -0.27278f },
{ 0.00246f, 1.14499f, 0.71417f, 0.73139f, -0.58509f, 0.03338f, 0.89965f, 0.48460f, 1.55868f, -1.24108f, 1.63410f, -0.48613f, -0.47758f, 0.51601f, -0.84199f, -0.17390f },
{ 0.08201f, 0.50426f, -0.74463f, 1.02978f, 0.24823f, -0.25670f, 0.99318f, 2.98345f, -0.62624f, -0.15620f, 0.01799f, -1.99675f, 0.00343f, -0.37235f, 1.34128f, 2.26437f },
{ 0.04752f, 1.49401f, 1.53547f, 1.31095f, -0.25174f, -0.41966f, -1.29222f, 0.91960f, 0.91864f, -0.28930f, 0.04604f, 0.27325f, -0.00601f, 1.86674f, 1.22304f, 0.81077f },
{ 1.71986f, -0.23411f, -1.87373f, -0.97023f, 0.86681f, 2.62246f, -1.80878f, -1.88235f, -0.86657f, 1.41975f, -1.22069f, 1.57437f, -0.07364f, 0.06622f, -1.68349f, 0.69738f },
{ -0.56458f, -0.14482f, -0.40849f, -1.27198f, -0.47554f, 1.47126f, 1.53224f, -0.25207f, -0.21046f, -1.17942f, 0.51111f, -0.89374f, -1.07545f, 0.20596f, 0.27999f, 1.64599f },
{ -1.62333f, 0.61257f, -0.63979f, 0.04317f, -1.17937f, -0.71531f, 0.02521f, 0.55736f, -1.52706f, 1.41866f, 0.27763f, 1.18423f, -0.61326f, -0.56290f, 0.29894f, 0.89324f },
{ -0.18461f, -0.06155f, -0.21270f, 0.39385f, 1.85185f, -0.56507f, 0.48767f, 0.49852f, 1.23224f, 0.91921f, -1.34026f, -0.09452f, 0.95467f, 2.04422f, 0.50548f, 0.50966f },
{ 0.75779f, 1.09544f, 0.08520f, 0.06070f, -2.10748f, -0.05552f, -1.36316f, -1.88694f, 0.01059f, 0.79281f, -0.95974f, 1.52769f, -1.68607f, 0.18908f, 0.80114f, -0.04712f },
{ -0.41894f, 0.45359f, -1.19055f, 0.22856f, -1.56930f, -0.17496f, -0.16845f, -1.36475f, 0.51008f, -1.66567f, 0.22460f, -0.69718f, -0.68011f, 0.76061f, -1.33191f, -0.30678f },
{ -1.27482f, 1.55404f, 0.45161f, -1.50921f, 0.51424f, 1.23049f, -2.01156f, 0.82224f, -0.00869f, -0.22332f, -1.12628f, 0.15920f, 0.32618f, -1.09991f, 0.19461f, -0.79768f },
{ 0.13298f, -0.17649f, -0.92134f, -0.28225f, 1.83026f, 0.62771f, -0.32807f, -0.18093f, -0.82394f, 0.02509f, -0.62112f, -0.58891f, -0.13361f, 0.30822f, -1.93015f, 1.43256f },
{ 0.12934f, -0.55976f, -1.32174f, 1.37939f, 0.06879f, -0.13979f, 0.01007f, 0.39353f, 1.07825f, -1.27807f, -0.97111f, 0.08020f, -0.21509f, 0.52588f, 0.60786f, 1.52925f },
{ 0.65228f, -0.01122f, 0.66591f, 1.39687f, 0.38506f, -0.67642f, -0.29815f, 0.74925f, -0.33645f, -1.31777f, 1.10712f, -0.80411f, 0.68972f, 0.82762f, 1.00160f, 0.19625f },
{ 0.05402f, 0.32714f, -0.59280f, 1.90990f, -1.72052f, 2.70073f, -1.09109f, 0.24097f, 0.69881f, -0.29437f, -1.17781f, 0.27152f, 0.39687f, -0.84563f, -1.49408f, 0.97225f },
{ 0.01429f, 0.21772f, -0.53383f, 0.69031f, 0.70597f, 0.31240f, -1.25448f, -1.20911f, -0.89798f, 0.87295f, -1.51712f, -0.68843f, -1.87972f, -2.19758f, 0.45436f, -0.84178f },
{ -0.60514f, 0.51042f, 1.42815f, -0.76805f, -1.06888f, -0.76368f, -0.30316f, -0.08486f, 0.81008f, 1.43570f, 1.37978f, -0.17286f, -0.80884f, 1.08896f, 1.11120f, -0.25818f },
{ -0.80013f, -1.53126f, -0.53719f, 1.24552f, 0.27380f, 0.79697f, 0.81481f, 0.25426f, 1.10830f, -0.29162f, 1.76075f, -0.22992f, -1.29899f, 0.28138f, 0.96148f, 1.22336f },
{ 0.25193f, 0.53952f, 1.63199f, -0.57738f, -0.97839f, -1.64414f, 0.60977f, -0.99779f, -0.58399f, 1.16668f, 1.15339f, -0.99346f, -1.95587f, 0.16415f, 0.28005f, 0.53100f },
{ -2.09780f, 0.54587f, 0.12482f, 0.43674f, -1.15652f, -1.25894f, -0.45310f, 0.52668f, 1.27654f, 2.33446f, 1.33255f, -0.73947f, -0.84369f, 0.04382f, -0.12416f, 0.51942f },
{ 0.72639f, -0.51205f, 0.53608f, 1.35064f, 3.30505f, 0.18424f, 0.58007f, 0.95643f, 1.14647f, -1.90801f, 1.33561f, -0.41709f, 0.69045f, -0.96026f, 1.41550f, 1.07955f },
{ -1.52292f, -1.00561f, 0.05726f, -0.28887f, 1.33317f, 0.00543f, -1.36598f, 0.69798f, -0.68920f, 0.47070f, -1.89070f, -1.10736f, -2.37727f, -1.04379f, 0.45529f, -0.08719f },
{ -0.85781f, 1.43453f, -1.15214f, -0.47225f, -2.08211f, -0.44296f, 1.66545f, 0.15559f, 0.46445f, -2.19973f, -0.19729f, -0.59038f, 0.76856f, -0.55319f, -0.20220f, -0.64876f },
{ -0.79617f, -0.13895f, -0.15303f, 0.67265f, 0.81292f, -0.78518f, -0.83237f, 0.59260f, 0.73449f, -1.00160f, 0.15622f, 1.29430f, 1.27922f, -0.70424f, 1.89687f, 0.11696f },
{ -1.70245f, 0.67484f, -0.25689f, 0.54970f, 0.48299f, -0.19669f, 0.09204f, -0.39278f, -0.63856f, -0.55150f, -0.34877f, 0.81929f, -0.38213f, -2.41440f, 2.00970f, 0.10467f },
{ -0.89742f, 0.73663f, 1.97548f, -0.57154f, -0.55346f, -0.05830f, -0.08841f, -1.01175f, 0.58173f, -1.30882f, 0.40690f, -1.43638f, -0.82227f, 0.06241f, 0.04535f, 0.09700f },
{ -0.23061f, -0.71408f, -0.21688f, 2.11175f, 0.30976f, 0.07906f, 0.76221f, 0.51293f, -0.18885f, -0.07054f, 1.69734f, 0.45766f, -0.66141f, -0.82129f, 0.46408f, -0.53547f },
{ -1.25584f, 0.22010f, -0.29620f, 1.21885f, 1.78242f, 0.45520f, 0.27228f, -0.67605f, 0.84388f, 0.16006f, 0.69777f, -0.31106f, 1.04153f, -0.27903f, -0.54086f, 0.58733f },
{ -1.75997f, 0.67931f, -0.15864f, 1.76677f, 0.05807f, -1.81858f, 0.44116f, 1.00816f, -0.21077f, -0.41814f, 0.27195f, 1.75763f, -0.71842f, 0.96063f, 0.82003f, -0.49801f },
{ -0.98561f, -0.93938f, -0.98525f, 0.55477f, 0.74669f, 0.69104f, -1.57547f, 0.00138f, -1.76897f, -0.40912f, 0.60458f, -0.52872f, 0.14455f, -0.74742f, -0.83356f, 0.90065f },
{ -1.04774f, -1.29471f, 0.13432f, -1.26103f, 0.40597f, 0.69412f, 1.02824f, 0.43526f, 1.27743f, -1.02610f, 0.04888f, 1.67157f, -1.11465f, 0.60045f, -0.90878f, -1.12814f },
{ 0.85858f, -1.16524f, 0.97586f, -0.59460f, -0.26326f, 0.82786f, 1.24863f, 0.58317f, 0.35005f, 0.32924f, -0.27611f, 0.11417f, 1.16666f, -0.11623f, -0.26440f, -0.06835f },
{ -0.98551f, -0.64471f, -0.23186f, 0.80620f, -0.62577f, -0.87272f, 1.24270f, -1.24644f, 0.10702f, -1.52763f, -0.23780f, 1.43840f, -1.10562f, 0.49121f, 1.70571f, 1.33692f },
{ 1.53721f, -0.01201f, -2.01869f, 0.03296f, 0.84109f, -0.34909f, -0.67165f, 1.44122f, -2.08839f, 1.14575f, 1.73994f, -0.57503f, -0.17034f, -0.44365f, 1.64861f, -1.53253f },
{ 0.91614f, -0.60784f, 1.22468f, 1.44388f, 0.59605f, 0.15064f, -0.04085f, 0.91277f, -1.47482f, 0.91987f, -0.65572f, 0.47199f, 0.86269f, 0.96419f, -0.09926f, 1.50516f },
{ 0.12451f, -0.50114f, 0.24986f, -0.13880f, 0.43322f, 1.77785f, 0.58872f, -0.16264f, 1.39592f, -0.21079f, 0.06403f, 0.94303f, -0.23810f, 1.15247f, 0.06434f, 0.67408f },
{ 1.79004f, -1.20157f, 0.20403f, 0.29799f, -0.27738f, 0.60132f, -0.19427f, 0.62069f, 0.46656f, -0.34103f, 1.53882f, 1.32702f, 0.19321f, 0.56968f, 0.56134f, 0.32636f },
{ -1.32603f, -0.64060f, 0.49125f, -0.85474f, -0.34524f, 1.90008f, -2.23332f, 0.16479f, 1.02449f, 1.64808f, 0.89536f, -0.19700f, -0.01596f, -0.74654f, -0.35610f, -0.06404f },
{ -0.88306f, 0.92179f, 1.54517f, 0.70023f, -0.08535f, -1.10548f, -0.34128f, 0.11449f, -1.67851f, 0.88384f, -0.06987f, 0.04075f, -1.46689f, -2.89183f, -0.53884f, -0.68355f },
{ -2.53590f, -0.08687f, -2.28495f, -0.25168f, -0.78280f, 0.03098f, 0.04612f, 0.16653f, -1.20204f, 0.30522f, 0.00986f, -0.39291f, -1.30214f, 0.44350f, 0.68805f, -0.64089f },
{ -0.28413f, -0.69606f, -0.97917f, 0.05482f, 1.69607f, -1.31440f, -0.19511f, 0.18332f, -0.27086f, -0.04644f, -0.70408f, -1.31328f, 0.63087f, -0.33136f, -0.45102f, -1.43880f },
{ -0.72530f, -0.57160f, -0.73724f, -0.24871f, 0.69600f, 0.22178f, 1.28323f, -1.89477f, 1.28545f, 0.94400f, -0.93810f, -0.75471f, -0.03703f, -1.72321f, 0.42090f, 1.95486f },
{ 0.29943f, 0.85526f, 2.10891f, -1.36058f, 0.01901f, -1.35101f, -0.66131f, -1.38114f, 0.68763f, -0.93345f, 1.16671f, 0.84065f, 0.94551f, -0.64832f, -0.08621f, 0.96928f },
{ 0.46430f, 0.41371f, 0.89772f, 0.43326f, -0.26097f, -0.35937f, 0.41987f, 1.01500f, -0.17836f, -0.03084f, -1.96394f, 0.39190f, 0.11132f, -1.79671f, 0.47009f, -0.22622f },
{ -0.99869f, 0.06508f, -1.77999f, -1.08590f, -0.21872f, -0.32152f, -1.62083f, -0.36186f, 1.21539f, -1.61403f, 2.79634f, 0.24536f, -0.58260f, 0.59016f, 0.00810f, -0.34034f },
{ -0.53737f, -0.26795f, 0.02647f, 0.97152f, -1.66125f, 0.39539f, 1.45421f, -0.75949f, 1.00645f, 0.04909f, 2.22043f, 1.12631f, 0.42024f, -0.37073f, -2.14879f, -1.90231f },
{ 0.18956f, -0.54058f, -0.60663f, 0.40920f, -0.74474f, -0.73336f, 0.79902f, -1.45663f, -1.37605f, 0.05491f, 0.42536f, -0.60791f, 0.57667f, -1.07366f, 0.05574f, 0.50447f },
{ -0.48825f, -0.64231f, -2.36105f, 0.90224f, 0.73524f, -1.92230f, -1.52273f, 0.34417f, -0.14116f, 0.82476f, -0.46021f, -0.32592f, -1.23072f, -1.34864f, 0.12380f, 1.74498f },
{ -1.86913f, 0.89695f, 0.45449f, 0.76917f, -0.95869f, 1.52036f, 1.04911f, -0.87607f, -0.81505f, -0.50824f, 2.12305f, 1.30385f, -0.21743f, -1.42662f, -0.87310f, -0.46060f },
{ -0.90016f, -0.54821f, -0.77719f, -0.27664f, 1.36247f, -0.29397f, -0.31072f, -1.51663f, 1.54963f, 1.32652f, 1.87026f, -0.66163f, 0.69318f, -0.53916f, -0.59559f, 0.66726f },
{ 1.48188f, 0.14427f, 0.06890f, 1.08242f, -1.28130f, 0.32927f, 1.53454f, 0.43964f, 0.63962f, -0.00816f, -0.94577f, 1.22048f, 0.56257f, -1.57381f, -0.42503f, -0.44955f },
